#{"t_start": 1743878026.4469059, "env_id": "None"}
r,l,t
23.87801,72,1473.255022
23.728008,72,1474.649724
24.27701,73,1475.941098
24.27701,73,1477.279117
23.87801,72,1478.562934
24.57601,74,1479.94683
24.57601,74,1481.622682
23.87801,72,1483.088097
23.728008,72,1484.365661
24.57601,74,1485.84356
23.728008,72,1493.833281
24.57601,74,1495.262806
24.27701,73,1496.67169
24.27701,73,1498.24143
23.87801,72,1499.630968
23.87801,72,1501.109768
23.87801,72,1503.253788
23.87801,72,1504.655003
24.57601,74,1507.067822
23.82801,72,1508.749401
24.22701,73,1510.376276
23.728008,72,1511.906534
24.27701,73,1514.170509
23.87801,72,1515.81132
23.728008,72,1517.181305
24.57601,74,1518.51977
23.728008,72,1519.908698
22.930008,70,1521.178591
24.57601,74,1523.268742
23.87801,72,1524.749431
23.87801,72,1526.528352
23.87801,72,1527.859729
24.57601,74,1529.258574
24.52601,74,1530.786269
24.57601,74,1532.671317
23.87801,72,1534.335811
24.57601,74,1536.400651
23.87801,72,1538.145074
23.728008,72,1544.729746
23.87801,72,1546.028704
23.87801,72,1547.379427
24.27701,73,1548.661344
24.57601,74,1550.030043
24.57601,74,1551.441139
24.57601,74,1553.523384
24.57601,74,1554.907343
23.87801,72,1556.925677
24.27701,73,1558.193269
23.87801,72,1559.60311
24.57601,74,1560.914241
23.87801,72,1562.925117
24.27701,73,1564.24224
23.87801,72,1565.525544
23.87801,72,1567.110435
23.87801,72,1568.677926
23.728008,72,1570.088043
23.87801,72,1571.420455
24.57601,74,1573.374817
24.27701,73,1575.018132
23.87801,72,1576.663466
23.87801,72,1578.00366
24.27701,73,1579.343946
24.27701,73,1580.858817
23.87801,72,1582.651908
24.27701,73,1584.033311
24.27701,73,1585.471086
23.87801,72,1593.196124
23.87801,72,1594.504291
23.87801,72,1595.838965
23.87801,72,1597.529128
23.87801,72,1599.379512
24.57601,74,1600.75641
23.87801,72,1602.506293
24.27701,73,1604.06749
23.82801,72,1605.83323
23.87801,72,1607.127762
23.87801,72,1608.530767
24.57601,74,1610.044391
24.27701,73,1611.459923
23.87801,72,1613.322759
23.87801,72,1614.791422
24.27701,73,1616.831501
23.87801,72,1618.223763
23.87801,72,1620.115038
23.87801,72,1621.916903
24.57601,74,1623.623169
23.82801,72,1625.001483
23.87801,72,1626.472662
23.678009,72,1628.538157
24.57601,74,1629.920703
23.87801,72,1631.594944
24.27701,73,1633.247264
24.27701,73,1634.6245
23.87801,72,1635.990477
23.87801,72,1644.329161
24.57601,74,1645.967962
24.27701,73,1647.257767
24.27701,73,1648.590766
23.87801,72,1649.956993
24.57601,74,1651.426758
24.27701,73,1653.415783
23.87801,72,1654.789062
24.27701,73,1656.833152
23.87801,72,1658.192931
23.87801,72,1659.6098
24.27701,73,1660.87857
23.87801,72,1662.668664
24.57601,74,1664.2557
24.22701,73,1666.073762
24.57601,74,1667.439817
24.57601,74,1669.395986
23.87801,72,1670.748814
24.27701,73,1672.373173
24.57601,74,1673.66705
24.27701,73,1675.358814
24.57601,74,1676.685974
23.87801,72,1678.417439
24.27701,73,1679.72423
23.87801,72,1681.885927
24.27701,73,1683.245423
23.728008,72,1684.981397
24.57601,74,1686.430803
24.57601,74,1693.635331
24.27701,73,1695.122837
24.57601,74,1696.51996
24.22701,73,1698.507588
24.57601,74,1700.35569
24.27701,73,1702.357402
23.87801,72,1704.162515
23.87801,72,1705.914683
24.57601,74,1707.22576
24.27701,73,1708.625589
24.57601,74,1709.983833
24.27701,73,1711.934255
24.27701,73,1713.552085
23.87801,72,1715.249459
24.57601,74,1716.704239
24.57601,74,1718.043919
23.82801,72,1719.320688
23.728008,72,1720.634113
23.87801,72,1722.11183
24.27701,73,1723.864809
24.57601,74,1725.176595
24.27701,73,1727.110124
24.27701,73,1728.739949
23.87801,72,1730.355114
23.87801,72,1731.69691
24.57601,74,1733.11478
23.87801,72,1734.34682
24.57601,74,1735.689914
23.87801,72,1743.218163
23.728008,72,1744.498401
24.27701,73,1745.857034
23.329008,71,1747.315029
24.57601,74,1749.291356
24.27701,73,1750.681615
24.57601,74,1752.569088
24.57601,74,1753.944388
23.728008,72,1755.247005
24.27701,73,1756.508859
24.27701,73,1758.256721
23.728008,72,1759.768227
23.728008,72,1761.080994
24.57601,74,1762.543671
23.329008,71,1764.349745
24.27701,73,1765.667837
24.27701,73,1766.991811
23.87801,72,1768.897999
24.57601,74,1770.64114
24.27701,73,1772.801542
24.27701,73,1774.20517
24.27701,73,1775.715089
23.87801,72,1777.161527
24.27701,73,1778.524408
23.728008,72,1779.804122
24.57601,74,1781.305795
24.57601,74,1782.696365
23.728008,72,1784.0314
23.678009,72,1786.032743
22.930008,70,1793.367117
24.57601,74,1794.708875
24.27701,73,1795.978744
24.27701,73,1797.394902
24.57601,74,1799.413866
24.27701,73,1800.780353
24.57601,74,1802.177831
24.57601,74,1803.493059
23.87801,72,1804.857098
24.57601,74,1806.229972
24.57601,74,1807.668993
24.27701,73,1809.661366
23.87801,72,1811.137923
23.87801,72,1812.443922
24.27701,73,1814.413593
24.52601,74,1816.015779
24.27701,73,1817.790906
23.728008,72,1819.194772
24.57601,74,1820.509022
24.27701,73,1822.374805
24.27701,73,1823.763909
24.57601,74,1825.33556
24.27701,73,1827.178974
24.27701,73,1828.732907
24.57601,74,1830.398167
24.27701,73,1832.025859
23.728008,72,1833.960933
24.27701,73,1835.732289
23.87801,72,1842.793447
23.87801,72,1844.050343
24.57601,74,1845.394778
23.728008,72,1846.855741
24.27701,73,1848.4886
24.22701,73,1850.122614
24.57601,74,1851.491433
24.27701,73,1852.940673
23.329008,71,1854.325896
24.27701,73,1855.611073
23.728008,72,1857.231337
24.27701,73,1858.775305
23.87801,72,1860.100996
24.57601,74,1861.40761
24.57601,74,1862.748539
24.57601,74,1864.998725
23.87801,72,1866.571095
24.57601,74,1868.521509
24.57601,74,1870.050593
24.27701,73,1871.846686
24.27701,73,1873.208486
23.728008,72,1874.457787
24.57601,74,1875.774305
24.57601,74,1877.227697
24.27701,73,1878.836571
23.87801,72,1880.62258
23.87801,72,1882.547755
24.27701,73,1884.571916
24.57601,74,1892.231487
24.27701,73,1893.525039
24.27701,73,1894.781182
23.87801,72,1896.134135
23.728008,72,1897.487655
24.57601,74,1899.345641
24.27701,73,1900.716393
24.27701,73,1902.123318
24.57601,74,1903.771075
24.27701,73,1905.265795
23.678009,72,1906.580398
24.27701,73,1907.9995
24.57601,74,1909.920479
23.329008,71,1911.281955
24.27701,73,1913.015893
23.87801,72,1914.671366
24.57601,74,1916.029564
24.27701,73,1917.31159
24.27701,73,1918.769734
23.87801,72,1920.950148
24.27701,73,1922.412744
